mpb_band,lambda_um-2,nu_a2.288,pr_fraction,pr_volume_um3,xi_um,r2,resolved,shell2_energy_frac
544,2.336346626,0.556602,3.378334e-01,505.8021,10.0431,0.7174,False,0.08074
545,2.340389729,0.557083,3.044059e-01,455.7546,6.9014,0.9445,False,0.07701
546,2.344956875,0.557627,2.946030e-01,441.0779,6.4162,0.9140,False,0.08648
547,2.347885609,0.557975,2.650510e-01,396.8327,6.3028,0.8835,False,0.09324
548,2.352224350,0.558490,3.185087e-01,476.8693,9.4450,0.7666,False,0.08454
549,2.356121540,0.558953,3.355883e-01,502.4408,13.5753,0.8722,False,0.08597
550,2.358072281,0.559184,3.190287e-01,477.6479,11.7006,0.6335,False,0.07192
551,2.366243601,0.560152,3.154957e-01,472.3583,15.1150,0.7808,False,0.07824
552,2.366687059,0.560204,3.387333e-01,507.1495,20.2066,0.4415,False,0.08064
553,2.370550394,0.560662,3.311543e-01,495.8022,12.5492,0.8148,False,0.08313
554,2.372834206,0.560932,3.224753e-01,482.8081,9.9856,0.8835,False,0.08539
555,2.376982212,0.561422,3.160573e-01,473.1991,6.5141,0.8643,False,0.09318
556,2.380591869,0.561848,3.429623e-01,513.4810,9.8967,0.9425,False,0.08100
557,2.381661415,0.561974,3.063018e-01,458.5932,15.8633,0.8361,False,0.08516
558,2.389084816,0.562849,2.792987e-01,418.1644,7.8555,0.8719,False,0.07887
559,2.389695168,0.562921,3.253665e-01,487.1367,10.4688,0.7938,False,0.07703
560,2.395027637,0.563549,3.448676e-01,516.3337,10.7267,0.8376,False,0.08484
561,2.399871826,0.564118,3.247374e-01,486.1950,12.0398,0.7971,False,0.07587
562,2.401915073,0.564358,2.927686e-01,438.3314,10.3522,0.5348,False,0.07589
563,2.408368587,0.565116,2.833549e-01,424.2372,4.4861,0.9578,False,0.06885
564,2.411111355,0.565438,3.139548e-01,470.0512,7.6412,0.8861,False,0.09504
565,2.412599802,0.565612,3.398390e-01,508.8049,10.3462,0.8885,False,0.08229
566,2.414400578,0.565823,3.459780e-01,517.9962,10.3383,0.8397,False,0.08347
567,2.419199467,0.566385,3.277908e-01,490.7665,32.9760,0.5481,False,0.06674
568,2.422893286,0.566818,3.205809e-01,479.9719,9.7190,0.8702,False,0.07369
569,2.425185204,0.567086,3.344754e-01,500.7746,9.7773,0.8641,False,0.08306
570,2.427535057,0.567360,2.996376e-01,448.6156,11.4251,0.9431,False,0.08818
571,2.432283878,0.567915,3.509265e-01,525.4051,12.3244,0.6163,False,0.07182
572,2.436760426,0.568437,3.080173e-01,461.1616,6.3646,0.7593,False,0.07688
573,2.439226389,0.568725,3.257263e-01,487.6755,7.2514,0.6871,False,0.08992
574,2.443115234,0.569178,3.434669e-01,514.2366,7.5440,0.7031,False,0.09500
575,2.447205544,0.569654,3.387860e-01,507.2284,19.4314,0.3090,False,0.09790
576,2.449928522,0.569971,2.981133e-01,446.3334,9.9430,0.7688,False,0.07225
577,2.453084707,0.570338,3.530745e-01,528.6209,11.5846,0.5973,False,0.08324
578,2.456193686,0.570699,3.167687e-01,474.2642,8.6059,0.9226,False,0.09072
579,2.460101843,0.571153,3.065532e-01,458.9697,6.2377,0.9394,False,0.08636
580,2.463110209,0.571502,3.243715e-01,485.6470,22.4299,0.6747,False,0.07622
581,2.464729786,0.571690,3.162714e-01,473.5197,9.2844,0.7513,False,0.07065
582,2.471042156,0.572422,3.573503e-01,535.0228,12.4535,0.8367,False,0.08229
583,2.475627422,0.572953,3.414715e-01,511.2490,10.7649,0.7852,False,0.08242
584,2.476828575,0.573092,3.240061e-01,485.0999,8.9961,0.7554,False,0.08688
585,2.479114532,0.573356,3.272984e-01,490.0292,6.0852,0.7860,False,0.08380
586,2.481264353,0.573605,3.202318e-01,479.4491,13.8809,0.4429,False,0.08373
587,2.484173536,0.573941,3.423861e-01,512.6184,21.4455,0.6079,False,0.08617
588,2.488490105,0.574439,3.032709e-01,454.0554,6.8385,0.7915,False,0.07635
589,2.490490913,0.574670,3.007888e-01,450.3391,7.1003,0.8107,False,0.08547
590,2.494071007,0.575083,3.484509e-01,521.6986,12.7537,0.6100,False,0.08928
591,2.497037649,0.575425,3.252127e-01,486.9066,11.1277,0.8377,False,0.08166
592,2.498944759,0.575645,3.235532e-01,484.4219,7.5046,0.7610,False,0.09268
593,2.499945641,0.575760,3.280187e-01,491.1077,8.2180,0.8641,False,0.09543
594,2.506546974,0.576520,3.270942e-01,489.7235,16.4803,0.8243,False,0.08461
595,2.507631540,0.576644,3.151353e-01,471.8187,6.3839,0.9588,False,0.08537
596,2.513696909,0.577341,2.994072e-01,448.2706,8.8221,0.9146,False,0.08788
597,2.514440298,0.577427,3.387563e-01,507.1839,13.4214,0.7282,False,0.08524
598,2.520443439,0.578116,3.326674e-01,498.0676,15.2826,0.6044,False,0.08305
599,2.523166656,0.578428,3.275926e-01,490.4696,10.4624,0.7302,False,0.08295
600,2.524257183,0.578553,3.723430e-01,557.4697,13.2918,0.5701,False,0.08999
601,2.525796890,0.578729,3.452231e-01,516.8659,7.9152,0.9729,False,0.07857
602,2.530099869,0.579222,3.208977e-01,480.4461,15.7451,0.6063,False,0.06969
603,2.531290054,0.579358,2.852770e-01,427.1150,10.6748,0.9033,False,0.08938
604,2.534453869,0.579720,3.245292e-01,485.8832,11.0607,0.9075,False,0.09474
605,2.540475130,0.580408,3.347777e-01,501.2272,9.7082,0.7082,False,0.09071
606,2.541805029,0.580560,3.235291e-01,484.3858,9.1315,0.8495,False,0.09755
607,2.543416262,0.580744,3.308547e-01,495.3537,12.8063,0.7015,False,0.09407
