i,tile_label,lambda_um-2,lambda_raw,norm_sq,nu_a2.288,residual_reported,pr_fraction,pr_volume_um3,xi_um,r2,dyn_range_dec,resolved,shell2_energy_frac,slice,in_gap_bracket,class,periodic_partner_lam,periodic_overlap
11,4953,1.765161257,1.765248179,1.000049243,0.483803,6.2368e-05,1.013635e-02,151.7609,6.4353,0.7816,1.689,True,0.09224,Sbelow,False,,,
12,4954,1.765399189,1.765486479,1.000049445,0.483835,6.0246e-05,7.542684e-03,112.9286,6.4199,0.7640,1.850,True,0.08152,Sbelow,False,,,
13,4955,1.765709407,1.765796423,1.000049281,0.483878,6.0830e-05,6.185428e-03,92.6079,5.8117,0.8066,1.987,True,0.10975,Sbelow,False,,,
14,4956,1.766560489,1.766647577,1.000049298,0.483994,6.0925e-05,8.789686e-03,131.5987,6.6893,0.7549,1.996,True,0.06376,Sbelow,False,,,
15,4957,1.767542317,1.767629385,1.000049259,0.484129,6.0721e-05,5.267575e-03,78.8658,4.1231,0.9488,2.034,True,0.06010,Sbelow,False,,,
16,4958,1.768098832,1.768186092,1.000049353,0.484205,5.9285e-05,5.356797e-03,80.2016,5.8716,0.7266,2.272,True,0.07666,Sbelow,False,,,
17,4959,1.768917993,1.769005299,1.000049355,0.484317,6.2492e-05,3.885265e-03,58.1699,4.0350,0.9230,2.607,True,0.10209,Sbelow,False,,,
18,4960,1.769098727,1.769185781,1.000049209,0.484342,6.1608e-05,4.823397e-03,72.2156,4.8567,0.8370,2.323,True,0.10010,Sbelow,False,,,
19,4961,1.770817233,1.770904541,1.000049304,0.484577,5.9416e-05,2.343770e-03,35.0908,4.1129,0.8874,2.655,True,0.02466,Sbelow,False,,,
20,4962,1.771271551,1.771358848,1.000049285,0.484639,5.9202e-05,4.807173e-03,71.9727,8.6647,0.5099,1.977,False,0.04929,Sbelow,False,,,
21,4963,1.774202242,1.774289608,1.000049242,0.485040,5.9332e-05,5.217419e-03,78.1149,5.7128,0.9058,1.929,True,0.13407,Sbelow,False,,,
22,4964,1.776555140,1.776642680,1.000049275,0.485362,5.9013e-05,5.935901e-03,88.8720,5.7282,0.8583,2.053,True,0.04165,Sbelow,False,,,
23,4965,1.776772518,1.776860237,1.000049370,0.485391,5.9912e-05,4.525904e-03,67.7616,6.4924,0.8169,1.789,True,0.05525,Sbelow,False,,,
24,4966,1.778579686,1.778667450,1.000049345,0.485638,5.9067e-05,1.427045e-03,21.3656,4.0654,0.7906,2.772,True,0.01892,Sbelow,False,,,
25,4967,1.779289398,1.779377460,1.000049493,0.485735,5.9355e-05,1.533171e-03,22.9545,4.4465,0.7144,2.579,True,0.00847,Sbelow,False,,,
26,4968,1.780530020,1.780617952,1.000049385,0.485904,6.1189e-05,5.623715e-03,84.1979,4.6914,0.8811,2.227,True,0.01234,Sbelow,False,,,
27,4969,1.781574183,1.781661868,1.000049218,0.486047,5.9814e-05,5.771398e-03,86.4090,4.0012,0.9809,2.503,True,0.11502,Sbelow,False,,,
28,4970,1.782905475,1.782993555,1.000049402,0.486228,6.0957e-05,5.339297e-03,79.9396,5.6251,0.7078,2.185,True,0.08422,Sbelow,False,,,
29,4971,1.785105874,1.785194397,1.000049590,0.486528,6.2120e-05,1.045442e-03,15.6523,4.5115,0.7751,2.716,True,0.01428,Sbelow,False,,,
30,4972,1.785992682,1.786080599,1.000049226,0.486649,6.3736e-05,6.379425e-04,9.5512,2.6858,0.9541,3.882,True,0.00739,Sbelow,False,,,
31,4973,1.787913381,1.788001299,1.000049173,0.486911,6.0825e-05,1.717685e-03,25.7171,4.3209,0.8839,2.696,True,0.11245,Sbelow,False,,,
32,4974,1.789378710,1.789466977,1.000049328,0.487110,6.1701e-05,4.663537e-03,69.8222,4.8619,0.9223,2.216,True,0.06393,Sbelow,False,,,
